name,href,price,support,deal_cnt
"京品电脑	
雷神(ThundeRobot)黑武士4+水冷游戏台式电脑电竞主机(12代i7-1270016GRTX3060Ti512GSSDP4无线充电)",https://item.jd.com/100031445798.html,8998.00,是,20000.0
惠普(HP)战99微边框商用一体机台式电脑23.8英寸(12代酷睿i5-1250016G512GSSDWiFi蓝牙Win11Office),https://item.jd.com/100035906754.html,4799.00,是,10000.0
酷开创维电脑智享系列台式电脑商务办公家用主机（酷睿i5-104008G256G全国联保）,https://item.jd.com/100030782576.html,2199.00,是,20000.0
联想（Lenovo）GeekPro2022新品设计师游戏办公台式电脑主机12代i5-12400F16G512GGTX1650S-4G标配单主机无显示器,https://item.jd.com/66965378520.html,5499.00,否,500
外星人ALIENWARER14水冷电竞游戏高端台式机R516G512GRTX3050办公台式机9152B,https://item.jd.com/100043933119.html,11969.00,是,500
惠普(HP)战66办公台式机商用小机箱电脑主机(12代i3-121008G1TBWiFi蓝牙Win11Office)23.8英寸显示器,https://item.jd.com/100024222049.html,3097.00,是,20000.0
"京品电脑	
酷开创维电脑办公商用台式机电脑整机（AMD八核A98G256GSSD商务键鼠全国联保）23.8英寸显示器",https://item.jd.com/100023048736.html,1399.00,是,20000.0
戴尔（DELL）成就3910台式机12代12核i7-12700设计渲染游戏办公商用家用主机整机定制单主机(无显示器)i7-1270016G1T256G核显定制,https://item.jd.com/72027556784.html,5549.00,否,2000
惠普(HP)战99商用办公电脑台式主机(12代i5-1250016G512GSSDRX64004G独显WiFi蓝牙Win11Office),https://item.jd.com/100022309143.html,4797.00,是,10000.0
Dongtintech东田工控机酷睿10代兼容研华工业自动化推荐设备5PCI5个COM口工业电脑主机DT-610L-JH410MAI710700/16G/1T*2/raid,https://item.jd.com/10042183389212.html,9974.00,否,100
"爱心东东	
【英特尔二十核酷睿i7独显】台式机电脑主机电竞游戏吃鸡家用商务办公设计师渲染编程组装电脑领睿整机全套主机+27寸显示器套餐六：十六核强芯/...",https://item.jd.com/10045275858449.html,4699.00,否,1000
雷神(ThundeRobot)黑武士4+宫里的世界联名水冷游戏台式电脑电竞主机(i7-1270016G1TSSD750W无线充电),https://item.jd.com/100023926097.html,5998.00,是,20000.0
"京品电脑	
攀升商睿2代办公商用家用台式电脑主机（10代i3-101058G256G商务键鼠3年上门）",https://item.jd.com/100013273460.html,1799.00,是,20000.0
邪手水冷i712700F/3060/Ti/3070华硕组装电脑/游戏台式电脑主机DIY组装机i712700KF+华硕3070+三星1TB固态,https://item.jd.com/10065754953249.html,9288.00,否,5000
航向者i512400F/RTX2060/3060Ti永劫无间吃鸡游戏台式电脑主机DIY组装机全套套一加强款：512G固态丨16G丨5808G,https://item.jd.com/13307356725.html,2099.00,否,20000.0
联想电脑台式机英特尔i3i5i7独显家用游戏商务办公设计二手台式机全套9成新套餐三【A63008G620G双硬盘送20寸】,https://item.jd.com/61926533695.html,899.00,否,10000.0
华硕（ASUS）12700F/RTX3060/RTX3070Ti电竞光追台式电脑主机DIY组装机标准版,https://item.jd.com/57800152225.html,6599.00,否,500
雷神(ThundeRobot)黑武士5Shark水冷游戏台式电脑电竞主机(13代i7-13700K32GRTX3070Ti1TSSD360水冷),https://item.jd.com/100040025737.html,14998.00,是,20000.0
机械师（MACHENIKE）台式机i512400F/3060电竞游戏设计台式电脑主机DIY整机配置四i512400F/RTX3060/16G单主机,https://item.jd.com/10056068707666.html,5999.00,否,500
雷索i512490F/11800/RTX3060Ti吃鸡游戏直播台式组装电脑主机DIY机全套整机套五加强款：3060Ti8G丨16G丨512G,https://item.jd.com/10044182067533.html,4099.00,否,2000
微星(MSI)Cubi510M商用办公学习电脑迷你台式机微型电脑主机处理器i5-10210U8G+256G黑色,https://item.jd.com/100035240439.html,2999.00,是,6.0
